# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ADORA2A	ADORA2A	NR_103544.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADORA2A-AS1	ADORA2A-AS1	NR_028483.2		0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADORA2A-AS1	ADORA2A-AS1	NR_028484.2		0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AIFM3	AIFM3	NM_001018060.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AIFM3	AIFM3	NM_001146288.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AIFM3	AIFM3	NM_144704.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AIFM3	AIFM3	NR_027464.1		0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALG12	ALG12	NM_024105.3	protein_coding	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
AP1B1	AP1B1	NM_001127.3	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
AP1B1	AP1B1	NM_001166019.1	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
AP1B1	AP1B1	NM_145730.2	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
APOBEC3C	APOBEC3C	NM_014508.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
APOBEC3F	APOBEC3F	NM_001006666.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
APOBEC3F	APOBEC3F	NM_145298.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
APOBEC3G	APOBEC3G	NM_021822.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
APOBEC3H	APOBEC3H	NM_001166002.2	protein_coding	0	1	4	2	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	1	0
APOBEC3H	APOBEC3H	NM_001166003.2	protein_coding	0	1	4	2	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	1	0
APOBEC3H	APOBEC3H	NM_001166004.2	protein_coding	0	1	3	3	0	0	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	1	0
APOBEC3H	APOBEC3H	NM_181773.4	protein_coding	0	1	4	2	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	1	0
APOL1	APOL1	NM_001136540.1	protein_coding	0	2	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0
APOL1	APOL1	NM_001136541.1	protein_coding	0	2	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0
APOL1	APOL1	NM_003661.3	protein_coding	0	2	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0
APOL1	APOL1	NM_145343.2	protein_coding	0	2	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0
APOL3	APOL3	NM_014349.2	protein_coding	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
APOL3	APOL3	NM_030644.1	protein_coding	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
APOL3	APOL3	NM_145639.1	protein_coding	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
APOL3	APOL3	NM_145640.2	protein_coding	0	2	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0
APOL3	APOL3	NM_145641.2	protein_coding	0	1	0	3	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
APOL3	APOL3	NM_145642.2	protein_coding	0	1	0	3	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
APOL4	APOL4	NM_030643.4	protein_coding	0	4	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0
APOL4	APOL4	NM_145660.2	protein_coding	0	4	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0
APOL5	APOL5	NM_030642.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARFGAP3	ARFGAP3	NM_001142293.1	protein_coding	0	2	2	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	2	0
ARFGAP3	ARFGAP3	NM_014570.4	protein_coding	0	2	2	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	2	0
ARHGAP8	ARHGAP8	NM_001017526.1	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
ARHGAP8	ARHGAP8	NM_001198726.1	protein_coding	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ARHGAP8	ARHGAP8	NM_181335.2	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
ARSA	ARSA	NM_000487.5	protein_coding	0	1	1	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0
ARSA	ARSA	NM_001085425.2	protein_coding	0	1	1	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0
ARSA	ARSA	NM_001085426.2	protein_coding	0	1	1	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0
ARSA	ARSA	NM_001085427.2	protein_coding	0	1	1	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0
ARSA	ARSA	NM_001085428.2	protein_coding	0	1	1	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0
ARVCF	ARVCF	NM_001670.2	protein_coding	0	1	4	4	0	0	0	0	0	0	0	0	4	3	0	1	0	0	0	0	0	1	0
ASCC2	ASCC2	NM_001242906.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_032204.4	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ATP5L2	ATP5L2	NM_001165877.1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1E1	ATP6V1E1	NM_001039366.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ATP6V1E1	ATP6V1E1	NM_001039367.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ATP6V1E1	ATP6V1E1	NM_001696.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
BAIAP2L2	BAIAP2L2	NM_025045.5	protein_coding	0	0	2	7	0	0	0	0	1	0	3	0	4	1	0	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001270726.1	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
BCL2L13	BCL2L13	NM_001270727.1	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
BCL2L13	BCL2L13	NM_001270728.1	protein_coding	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001270729.1	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
BCL2L13	BCL2L13	NM_001270730.1	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
BCL2L13	BCL2L13	NM_001270731.1	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
BCL2L13	BCL2L13	NM_001270732.1	protein_coding	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001270733.1	protein_coding	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001270734.1	protein_coding	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001270735.1	protein_coding	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_015367.3	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
BCL2L13	BCL2L13	NR_073068.1		0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NR_073069.1		0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
BCR	BCR	NM_004327.3	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BCR	BCR	NM_021574.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BID	BID	NM_001196.3	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BID	BID	NM_001244567.1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BID	BID	NM_001244569.1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BID	BID	NM_001244570.1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BID	BID	NM_001244572.1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BID	BID	NM_197966.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BID	BID	NM_197967.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIK	BIK	NM_001197.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BMS1P17	BMS1P17.3	NR_073460.1.3		0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
BMS1P18	BMS1P18.3	NR_073459.1.3		0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
BMS1P22	BMS1P22.3	NR_133911.1.3		0	0	0	11	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
BPIFC	BPIFC	NM_174932.2	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BRD1	BRD1	NM_001304808.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BRD1	BRD1	NM_001304809.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C1QTNF6	C1QTNF6	NM_031910.3	protein_coding	0	2	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0
C1QTNF6	C1QTNF6	NM_182486.1	protein_coding	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
C22orf15	C22orf15	NM_182520.2	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
C22orf23	C22orf23	NM_001207062.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C22orf23	C22orf23	NM_032561.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C22orf31	C22orf31	NM_015370.1	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
C22orf34	C22orf34	NM_001289922.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C22orf34	C22orf34	NR_110522.1		0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C22orf34	C22orf34	NR_110523.1		0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C22orf46	C22orf46	NM_001142964.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CABIN1	CABIN1	NM_001199281.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CABIN1	CABIN1	NM_001201429.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CABIN1	CABIN1	NM_012295.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CACNA1I	CACNA1I	NM_001003406.1	protein_coding	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0
CACNA1I	CACNA1I	NM_021096.3	protein_coding	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0
CARD10	CARD10	NM_014550.3	protein_coding	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
CBY1	CBY1	NM_001002880.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBY1	CBY1	NM_015373.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CCDC116	CCDC116	NM_152612.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CCDC157	CCDC157	NM_001017437.3	protein_coding	0	2	1	3	1	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0
CCDC157	CCDC157	NM_001318334.1	protein_coding	0	2	1	3	1	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0
CCDC157	CCDC157	NM_001318335.1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC188	CCDC188	NM_001243537.1	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
CCT8L2	CCT8L2	NM_014406.4	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
CDC42EP1	CDC42EP1	NM_152243.2	protein_coding	0	5	6	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	4	0
CECR1	CECR1	NM_001282225.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CECR1	CECR1	NM_001282226.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CECR1	CECR1	NM_001282227.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CECR1	CECR1	NM_001282228.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CECR1	CECR1	NM_001282229.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CECR2	CECR2	NM_001290046.1	protein_coding	0	2	1	3	0	0	0	0	0	0	0	0	5	1	0	0	0	2	0	0	0	0	0
CECR2	CECR2	NM_001290047.1	protein_coding	0	2	1	3	0	0	0	0	0	0	0	0	5	1	0	0	0	2	0	0	0	0	0
CECR5	CECR5	NM_017829.5	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
CECR5	CECR5	NM_033070.2	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
CECR6	CECR6	NM_001163079.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CECR6	CECR6	NM_031890.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CELSR1	CELSR1	NM_014246.1	protein_coding	0	3	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0
CENPM	CENPM	NM_001002876.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CENPM	CENPM	NM_001110215.2	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CENPM	CENPM	NM_001304370.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CENPM	CENPM	NM_001304371.1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CENPM	CENPM	NM_001304372.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CENPM	CENPM	NM_001304373.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CENPM	CENPM	NM_024053.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CERK	CERK	NM_022766.5	protein_coding	0	2	0	3	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0
CHADL	CHADL	NM_138481.1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CHCHD10	CHCHD10	NM_001301339.1	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
CHCHD10	CHCHD10	NM_213720.2	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
CHCHD10	CHCHD10	NR_125755.1		0	0	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
CHCHD10	CHCHD10	NR_125756.1		0	0	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
CHEK2	CHEK2	NM_001005735.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CHEK2	CHEK2	NM_001257387.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CHEK2	CHEK2	NM_007194.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CHEK2	CHEK2	NM_145862.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CHKB	CHKB	NM_005198.4	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
CHKB-AS1	CHKB-AS1	NR_021492.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CHKB-AS1	CHKB-AS1	NR_110536.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CHKB-CPT1B	CHKB-CPT1B	NR_027928.2		0	0	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
CLTCL1	CLTCL1	NM_001835.3	protein_coding	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
CLTCL1	CLTCL1	NM_007098.3	protein_coding	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
COMT	COMT	NM_000754.3	protein_coding	5	1	1	4	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	5	1	0
COMT	COMT	NM_001135161.1	protein_coding	5	1	1	4	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	5	1	0
COMT	COMT	NM_001135162.1	protein_coding	5	1	1	4	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	5	1	0
COMT	COMT	NM_007310.2	protein_coding	0	1	1	4	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	1	0
CPT1B	CPT1B	NM_001145134.1	protein_coding	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
CPT1B	CPT1B	NM_001145135.1	protein_coding	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
CPT1B	CPT1B	NM_001145137.1	protein_coding	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
CPT1B	CPT1B	NM_004377.3	protein_coding	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
CPT1B	CPT1B	NM_152245.2	protein_coding	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
CPT1B	CPT1B	NM_152246.2	protein_coding	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
CRELD2	CRELD2	NM_001135101.2	protein_coding	0	3	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0
CRELD2	CRELD2	NM_001284317.1	protein_coding	0	2	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0
CRELD2	CRELD2	NM_001284318.1	protein_coding	0	2	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0
CRELD2	CRELD2	NM_024324.4	protein_coding	0	2	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0
CRELD2	CRELD2	NR_104295.1		0	0	0	6	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0
CRYBA4	CRYBA4	NM_001886.2	protein_coding	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0
CRYBB1	CRYBB1	NM_001887.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CRYBB3	CRYBB3	NM_004076.4	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CSF2RB	CSF2RB	NM_000395.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CSNK1E	CSNK1E	NM_001894.4	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CSNK1E	CSNK1E	NM_152221.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CYB5R3	CYB5R3	NM_000398.6	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CYB5R3	CYB5R3	NM_001129819.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CYB5R3	CYB5R3	NM_001171660.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CYB5R3	CYB5R3	NM_001171661.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CYB5R3	CYB5R3	NM_007326.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CYP2D6	CYP2D6	NM_000106.5	protein_coding	0	1	1	4	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	1	0
CYP2D6	CYP2D6	NM_001025161.2	protein_coding	0	1	1	4	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	1	0
CYTH4	CYTH4	NM_001318024.1	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
CYTH4	CYTH4	NM_013385.4	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
DDX17	DDX17	NM_001098504.1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DDX17	DDX17	NM_006386.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DENND6B	DENND6B	NM_001001794.3	protein_coding	0	2	1	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	2	0
